ano,conta_alfa,coeff,versao
2001,CIVarejoUrbano,147.465106932796,corrigida IPCA
2002,AAProdução,36.24570786771812,corrigida IPCA
2002,ACVarejoRural,164.63454299991943,corrigida IPCA
2002,AFIndustBenef,480.099435473292,corrigida IPCA
2002,AGIndustTransf,626.0870224977771,corrigida IPCA
2002,AHAtacado,827.3611803818826,corrigida IPCA
2002,AIVarejoUrbano,164.63454299991943,corrigida IPCA
2002,BFIndustBenef,480.099435473292,corrigida IPCA
2002,BGIndustTransf,626.0870224977771,corrigida IPCA
2002,BHAtacado,827.3611803818826,corrigida IPCA
2002,BIVarejoUrbano,164.63454299991943,corrigida IPCA
2002,CFIndustBenef,480.099435473292,corrigida IPCA
2002,CGIndustTransf,626.0870224977771,corrigida IPCA
2002,CHAtacado,827.3611803818826,corrigida IPCA
2002,CIVarejoUrbano,164.63454299991943,corrigida IPCA
2003,AAProdução,31.59645988732417,corrigida IPCA
2003,ACVarejoRural,181.12304224971896,corrigida IPCA
2003,AFIndustBenef,501.2616951196432,corrigida IPCA
2003,AGIndustTransf,636.1534286127941,corrigida IPCA
2003,AHAtacado,903.420293959648,corrigida IPCA
2003,AIVarejoUrbano,181.12304224971896,corrigida IPCA
2003,BFIndustBenef,501.2616951196432,corrigida IPCA
2003,BGIndustTransf,636.1534286127941,corrigida IPCA
2003,BHAtacado,903.420293959648,corrigida IPCA
2003,BIVarejoUrbano,181.12304224971896,corrigida IPCA
2003,CFIndustBenef,501.2616951196432,corrigida IPCA
2003,CGIndustTransf,636.1534286127941,corrigida IPCA
2003,CHAtacado,903.420293959648,corrigida IPCA
2003,CIVarejoUrbano,181.12304224971896,corrigida IPCA
2004,AAProdução,29.64076251881228,corrigida IPCA
2004,ACVarejoRural,196.9703257683229,corrigida IPCA
2004,AFIndustBenef,521.680887804043,corrigida IPCA
2004,AGIndustTransf,645.9482319518212,corrigida IPCA
2004,AHAtacado,975.9346078174152,corrigida IPCA
2004,AIVarejoUrbano,196.9703257683229,corrigida IPCA
2004,BFIndustBenef,521.680887804043,corrigida IPCA
2004,BGIndustTransf,645.9482319518212,corrigida IPCA
2004,BHAtacado,975.9346078174152,corrigida IPCA
2004,BIVarejoUrbano,196.9703257683229,corrigida IPCA
2004,CFIndustBenef,521.680887804043,corrigida IPCA
2004,CGIndustTransf,645.9482319518212,corrigida IPCA
2004,CHAtacado,975.9346078174152,corrigida IPCA
2004,CIVarejoUrbano,196.9703257683229,corrigida IPCA
2005,AAProdução,27.73529728828558,corrigida IPCA
2005,ACVarejoRural,212.21308416735425,corrigida IPCA
2005,AFIndustBenef,541.3954750627389,corrigida IPCA
2005,AGIndustTransf,655.482278412852,corrigida IPCA
2005,AHAtacado,1045.1462913124265,corrigida IPCA
2005,AIVarejoUrbano,212.21308416735425,corrigida IPCA
2005,BFIndustBenef,541.3954750627389,corrigida IPCA
2005,BGIndustTransf,655.482278412852,corrigida IPCA
2005,BHAtacado,1045.1462913124265,corrigida IPCA
2005,BIVarejoUrbano,212.21308416735425,corrigida IPCA
2005,CFIndustBenef,541.3954750627389,corrigida IPCA
2005,CGIndustTransf,655.482278412852,corrigida IPCA
2005,CHAtacado,1045.1462913124265,corrigida IPCA
2005,CIVarejoUrbano,212.21308416735425,corrigida IPCA
2006,AAProdução,26.62152855112048,corrigida IPCA
2006,ACVarejoRural,226.88526118291733,corrigida IPCA
2006,AFIndustBenef,560.4413090669232,corrigida IPCA
2006,AGIndustTransf,664.7658440015473,corrigida IPCA
2006,AHAtacado,1111.2759459710414,corrigida IPCA
2006,AIVarejoUrbano,226.88526118291733,corrigida IPCA
2006,BFIndustBenef,560.4413090669232,corrigida IPCA
2006,BGIndustTransf,664.7658440015473,corrigida IPCA
2006,BHAtacado,1111.2759459710414,corrigida IPCA
2006,BIVarejoUrbano,226.88526118291733,corrigida IPCA
2006,CFIndustBenef,560.4413090669232,corrigida IPCA
2006,CGIndustTransf,664.7658440015473,corrigida IPCA
2006,CHAtacado,1111.2759459710414,corrigida IPCA
2006,CIVarejoUrbano,226.88526118291733,corrigida IPCA
2007,AAProdução,25.68620255807109,corrigida IPCA
2007,ACVarejoRural,241.01830601187436,corrigida IPCA
2007,AFIndustBenef,578.8518502176889,corrigida IPCA
2007,AGIndustTransf,673.8086717768006,corrigida IPCA
2007,AHAtacado,1174.5249542570084,corrigida IPCA
2007,AIVarejoUrbano,241.01830601187436,corrigida IPCA
2007,BFIndustBenef,578.8518502176889,corrigida IPCA
2007,BGIndustTransf,673.8086717768006,corrigida IPCA
2007,BHAtacado,1174.5249542570084,corrigida IPCA
2007,BIVarejoUrbano,241.01830601187436,corrigida IPCA
2007,CFIndustBenef,578.8518502176889,corrigida IPCA
2007,CGIndustTransf,673.8086717768006,corrigida IPCA
2007,CHAtacado,1174.5249542570084,corrigida IPCA
2007,CIVarejoUrbano,241.01830601187436,corrigida IPCA
2008,AAProdução,24.306033476156266,corrigida IPCA
2008,ACVarejoRural,261.367830012991,corrigida IPCA
2008,AFIndustBenef,606.6128573799068,corrigida IPCA
2008,AGIndustTransf,665.6272145169085,corrigida IPCA
2008,AHAtacado,1211.0859836445704,corrigida IPCA
2008,AIVarejoUrbano,261.367830012991,corrigida IPCA
2008,BFIndustBenef,606.6128573799068,corrigida IPCA
2008,BGIndustTransf,665.6272145169085,corrigida IPCA
2008,BHAtacado,1211.0859836445704,corrigida IPCA
2008,BIVarejoUrbano,261.367830012991,corrigida IPCA
2008,CFIndustBenef,606.6128573799068,corrigida IPCA
2008,CGIndustTransf,665.6272145169085,corrigida IPCA
2008,CHAtacado,1211.0859836445704,corrigida IPCA
2008,CIVarejoUrbano,261.367830012991,corrigida IPCA
2009,AAProdução,23.17329870832665,corrigida IPCA
2009,ACVarejoRural,254.5097069656996,corrigida IPCA
2009,AFIndustBenef,537.4045797903973,corrigida IPCA
2009,AGIndustTransf,679.5595544204431,corrigida IPCA
2009,AHAtacado,1157.5598417668616,corrigida IPCA
2009,AIVarejoUrbano,254.5097069656996,corrigida IPCA
2009,BFIndustBenef,537.4045797903973,corrigida IPCA
2009,BGIndustTransf,679.5595544204431,corrigida IPCA
2009,BHAtacado,1157.5598417668616,corrigida IPCA
2009,BIVarejoUrbano,254.5097069656996,corrigida IPCA
2009,CFIndustBenef,537.4045797903973,corrigida IPCA
2009,CGIndustTransf,679.5595544204431,corrigida IPCA
2009,CHAtacado,1157.5598417668616,corrigida IPCA
2009,CIVarejoUrbano,254.5097069656996,corrigida IPCA
2010,AAProdução,22.061603122891214,corrigida IPCA
2010,ACVarejoRural,270.43148643085703,corrigida IPCA
2010,AFIndustBenef,547.1711339430321,corrigida IPCA
2010,AGIndustTransf,681.7940905283842,corrigida IPCA
2010,AHAtacado,1184.3759693877362,corrigida IPCA
2010,AIVarejoUrbano,270.43148643085703,corrigida IPCA
2010,BFIndustBenef,547.1711339430321,corrigida IPCA
2010,BGIndustTransf,681.7940905283842,corrigida IPCA
2010,BHAtacado,1184.3759693877362,corrigida IPCA
2010,BIVarejoUrbano,270.43148643085703,corrigida IPCA
2010,CFIndustBenef,547.1711339430321,corrigida IPCA
2010,CGIndustTransf,681.7940905283842,corrigida IPCA
2010,CHAtacado,1184.3759693877362,corrigida IPCA
2010,CIVarejoUrbano,270.43148643085703,corrigida IPCA
2011,AAProdução,20.68863040803883,corrigida IPCA
2011,ACVarejoRural,270.0530517150699,corrigida IPCA
2011,AFIndustBenef,550.5707399903027,corrigida IPCA
2011,AGIndustTransf,677.4029922890159,corrigida IPCA
2011,AHAtacado,1243.1621415759164,corrigida IPCA
2011,AIVarejoUrbano,270.0530517150699,corrigida IPCA
2011,BFIndustBenef,550.5707399903027,corrigida IPCA
2011,BGIndustTransf,677.4029922890159,corrigida IPCA
2011,BHAtacado,1243.1621415759164,corrigida IPCA
2011,BIVarejoUrbano,270.0530517150699,corrigida IPCA
2011,CFIndustBenef,550.5707399903027,corrigida IPCA
2011,CGIndustTransf,677.4029922890159,corrigida IPCA
2011,CHAtacado,1243.1621415759164,corrigida IPCA
2011,CIVarejoUrbano,270.0530517150699,corrigida IPCA
2012,AAProdução,19.62800508770562,corrigida IPCA
2012,ACVarejoRural,280.6057153971876,corrigida IPCA
2012,AFIndustBenef,577.1422312317541,corrigida IPCA
2012,AGIndustTransf,655.5151676373765,corrigida IPCA
2012,AHAtacado,1308.8440205559054,corrigida IPCA
2012,AIVarejoUrbano,280.6057153971876,corrigida IPCA
2012,BFIndustBenef,577.1422312317541,corrigida IPCA
2012,BGIndustTransf,655.5151676373765,corrigida IPCA
2012,BHAtacado,1308.8440205559054,corrigida IPCA
2012,BIVarejoUrbano,280.6057153971876,corrigida IPCA
2012,CFIndustBenef,577.1422312317541,corrigida IPCA
2012,CGIndustTransf,655.5151676373765,corrigida IPCA
2012,CHAtacado,1308.8440205559054,corrigida IPCA
2012,CIVarejoUrbano,280.6057153971876,corrigida IPCA
2013,AAProdução,18.481379790117103,corrigida IPCA
2013,ACVarejoRural,293.6738215970525,corrigida IPCA
2013,AFIndustBenef,593.1013622830038,corrigida IPCA
2013,AGIndustTransf,624.0169012520346,corrigida IPCA
2013,AHAtacado,1296.1312528211408,corrigida IPCA
2013,AIVarejoUrbano,293.6738215970525,corrigida IPCA
2013,BFIndustBenef,593.1013622830038,corrigida IPCA
2013,BGIndustTransf,624.0169012520346,corrigida IPCA
2013,BHAtacado,1296.1312528211408,corrigida IPCA
2013,BIVarejoUrbano,293.6738215970525,corrigida IPCA
